Cve_Ent,Cve_Mun,Value,dirvieng,prec,probprec,raf,tmax,tmin,velvien
1,1,25,10.0,1.3415312165578634,5.634990463747508,23.879142119009863,18.243593933549903,11.480210497844814,50.66150849790525
1,2,202,5.0,0.6375594796740782,0.6617384405093424,15.607112693948697,17.21754516356383,6.7143217712097085,67.91463057045283
1,3,54,8.0,1.2234603598710738,8.276334210964091,25.50932451600542,25.1117337153472,3.323803613242667,11.126593481352398
1,4,906,4.0,0.6671970701051106,10.795838788162456,22.290135982393643,32.401780158427236,5.713724461685679,89.63470867545121
1,5,620,7.0,1.2021970232651764,0.7885280102008985,16.296768550041033,37.63336090962523,5.567552348742154,88.81808670695924
1,6,608,5.0,0.6062934973946122,4.956285954866236,14.31148782248248,23.13603947312437,11.229049267813219,44.427487329842954
1,7,239,8.0,0.762241720819879,10.915434029191807,16.62730053084766,38.663557269917995,11.333433218536268,57.0576548717283
1,8,980,9.0,1.431325535516358,4.1581148563139,24.951253768178788,34.46801786074233,1.5763717084971134,56.75412640144424
1,9,978,4.0,1.457880685630095,0.626886785266143,18.144843113037997,30.938266314653585,0.1690063417047477,61.656526830826905
1,10,251,9.0,0.9243723548000162,4.588256090311208,18.673394977373334,30.63351370885716,14.513743009585,94.40670160615363
1,11,83,,,,,,,
2,1,466,9.0,1.4091366184262846,2.4963529185854636,28.926538487521377,24.55297958609242,8.61842403904179,21.240546644297865
2,2,604,8.0,1.1304074702565456,4.927498223292377,27.926083061928566,35.50175819489465,11.379479951145587,55.73673028270578
2,3,772,10.0,0.8021235922810954,8.928527241577942,14.37327706572667,17.87067727142333,6.010622893889461,74.73218905478241
2,4,688,7.0,0.9984395249454725,7.684925169849535,19.74900922816127,20.061720699864374,3.244843474075507,33.56262926883096
2,5,14,10.0,0.9602800645256653,0.34215336804963914,15.897482755518713,23.363045519983174,2.129977219284208,94.79335255680425
2,6,552,8.0,1.1499805866891812,1.3025016506961529,25.004849850848743,25.4691936546121,2.0763559428509817,88.5017643044382
2,7,23,,,,,,,
3,1,330,7.0,0.7135206785845387,11.932874289394162,29.893743452152577,15.280543381503628,13.825899351948726,84.60215292698973
3,2,486,10.0,0.8281469564556784,11.435309654133976,26.262627687387134,34.12168470754049,13.1159507617972,72.40494326488344
3,3,14,4.0,0.7901379079397626,2.9699703866982285,17.241987525400972,39.67413984210954,9.382674368014973,80.95483112372135
3,8,523,,,,,,,
3,9,495,,,,,,,
4,1,283,7.0,0.6331903365350052,13.272209183907671,27.775407827300963,38.36749445241399,11.325822323967154,14.404698273521621
4,2,975,9.0,0.559388342391933,7.416609150364601,15.154347007524915,20.860898010326082,12.055033384324847,38.68710378802505
4,3,277,6.0,1.1531011620429443,7.396373928220972,22.838966602316408,27.34093733593168,7.13442205571941,12.907428323341385
4,4,940,7.0,0.6203325297008214,0.2701820806998262,19.089260983021852,23.275632703544563,10.525266696398305,58.83273496881753
4,5,40,9.0,1.4511292177047403,5.369984687447133,15.835695308455552,24.101216636845855,7.459647862647306,35.165526164749394
